ผลคะแนนการเลือกตั้งสมาชิกสภาผู้แทนราษฎร แบบแบ่งเขตเลือกตั้ง เมื่อวันที่ 24 มีนาคม 2562,,,,,
จำแนกตามเขตเลือกตั้ง,,,,,
,,,,,
จังหวัด,เขต,หมายเลข,ชื่อผู้สมัคร,พรรค,ผลคะแนน
,,22,นางสุมาลี  อินทะสุข,เศรษฐกิจใหม่,"5,661"
,,7,นางสาวปิณญาดา  ตันติมนตรี,เสรีรวมไทย,"2,338"
,,3,นางจิณณา  สืบสายไทย,ภูมิใจไทย,764
,,11,นายเจษฎา  ศรีสุข,รวมพลังประชาชาติไทย,690
,,10,นางสาววราไพรินทร์  ธนวริสพร,ชาติไทยพัฒนา,597
,,19,นางธนพรรณ  ศุณะมาลัย,รักษ์ผืนป่าประเทศไทย,450
,,1,นางสาววีรินทร์  ตันเสรีสกุล,เพื่อชาติ,293
,,8,นายกรกฤษณ์  วงศ์คุณหยก,ชาติพัฒนา,205
,,13,นายปราช  จันทองจีน,ประชาชนปฏิรูป,195
,,14,นายทนงศักดิ์  รักอารมณ์,ไทยศรีวิไลย์,171
,,21,นายประสิทธิ์  พงษ์สมบัติ,ประชาธิปไตยใหม่,151
,,15,นางสาววันสว่าง  เต็มชำนาญ,พลังท้องถิ่นไท,129
,,5,นายสิทธา  แจ้งสุข,ประชาภิวัฒน์,105
,,4,นายศิรธันย์  แสงสินธุศร,ประชาชาติ,89
,,9,นายผนึก  ธัญรส,พลังธรรมใหม่,75
กรุงเทพมหานคร,8,26,นางสาวภิญญาภรณ์  คงพิทักษ์,มหาชน,73
,,20,นายสนั่น  พานทอง,กลาง,64
,,17,นางสาวณัฐภรณ์  ชมตระกูล,ประชานิยม,50
,,18,นายรัชพล  เกิดศิลป์,ภราดรภาพ,48
,,23,นางสาวธัญญธร  ยุวจิตติ,ครูไทยเพื่อประชาชน,46
,,30,นายชัยชนะ  วงศ์จรรยา,ประชาธรรมไทย,43
,,24,นางสาวรุ้งเพชร  ดิษฐศิริ,พลังชาติไทย,36
,,25,นายปริชัย  ณิชกุลบุญเพ็ง,พลังรัก,31
,,34,นายชัยนิวัตน์  แสนวันนา,พลังศรัทธา,25
,,29,นางสาวสุธาสินี  ลาเสือ,พลเมืองไทย,20
,,27,นางสาวสิริอร  ลักษมีธนานันต์,ประชาไทย,19
,,33,นายไพฑูรย์  จันทร์วิบูลย์,ถิ่นกาขาวชาววิไล,15
,,32,นางสาวเบญจพร  ชำนิราชกิจ,ภาคีเครือข่ายไทย,11
,,31,นางสาวเบญสิร์ยา  อภิปัญรัศมิ์,มติประชา,10
,9,6,นายสิระ  เจนจาคะ,พลังประชารัฐ,"34,907"
,,2,นายสุรชาติ  เทียนทอง,เพื่อไทย,"32,115"
,,12,นายกฤษณุชา  สรรเสริญ,อนาคตใหม่,"25,735"
,,5,พลตำรวจตรี วิชัย  สังข์ประไพ,ประชาธิปัตย์,"16,255"
,,20,นายศักดิภัทร์  สวามิวัสดุ์,เศรษฐกิจใหม่,"5,873"
,,13,นายปัณณธร  รัตน์ภูริเดช,เสรีรวมไทย,"2,593"
,,7,นายบวรกิตติ์  สันทัด,ภูมิใจไทย,"1,666"
,,11,นายสุรวัช  สุนทรศารทูล,รวมพลังประชาชาติไทย,760
,,15,นายวีรพัส  เทพา,รักษ์ผืนป่าประเทศไทย,578
,,1,พลตรี เจริญ  สุดโสภา,ชาติไทยพัฒนา,380
,,4,นางประภัสสร  ชูทอง,เพื่อชาติ,348
,,8,นายชุมพล  รุ่งวิชานิวัฒน์,ชาติพัฒนา,241
,,10,นายธัชชา  ภิรมย์ชาติ,ประชาชนปฏิรูป,237
,,9,นายศุภกร  จงนภาศิริกูร,พลังท้องถิ่นไท,170
,,3,นางสาวนันทวัน  อินธิแสง,ประชาชาติ,147
,,22,นายกฤษฎา  แรงสูงเนิน,ประชากรไทย,98
,,16,นายฐิตินันต์  ชวนอยู่,ประชานิยม,81
,,19,นายพสันต์  ดิษเจริญ,พลังประชาธิปไตย,71
,,23,นางสาวโสพรรณา  ทิพย์โยธา,ครูไทยเพื่อประชาชน,59
,,14,นายพิชิต  จันทร์ประเสริฐ,ประชาภิวัฒน์,58
,,26,นายธงชัย  เสี่ยงเทียนชัย,พลังสังคม,55
,,17,นายณัฐพล  วิสุทธิวงศ์,ภราดรภาพ,54
,,24,นายฐิตินันทน์  แก้วกิตติกาญจนา,พลังชาติไทย,52
,,28,นายรุ่งโรจน์  อิบรอฮีม,ประชาธรรมไทย,49
,,25,จ่าสิบเอก ไพบูลย์  ภู่ธงแก้ว,พลังไทสร้างชาติ,46
,,21,นางกรรวิการ์  บุตรเนียร,พลังปวงชนไทย,41
,,30,นางกนกวรรณ  กล่ำเครือ,ภาคีเครือข่ายไทย,38
,,27,นายสมปอง  เพิ่มพูล,พลังศรัทธา,25
,,18,นางอรอุสา  งามเบญจวิชัยกุล,มติประชา,23
,10,1,นายการุณ  โหสกุล,เพื่อไทย,"30,800"
,,13,นางกนกนุช  กลิ่นสังข์,พลังประชารัฐ,"22,067"
,,17,นายธนากร  ชินอุดมพร,อนาคตใหม่,"22,062"
,,11,นายธัญญ์นิธิ  ชวรัตน์นิธิโชติ,ประชาธิปัตย์,"14,061"
กรุงเทพมหานคร,10,4,นายเฉลิมพล  อุตรัตน์,เสรีรวมไทย,"2,326"
,,3,นางสาวกัญญาภัค  ปัญญวัต,รวมพลังประชาชาติไทย,627
